field,input,output
고용복지,성취프로그램 참가방법,"성취프로그램이란 성공적인 취업을 지원하기 위한 선진국형 집단상담 프로그램으로서 5일동안 매일 6시간씩 집단상담 및 교육을 통해 자신의 장·단점을 찾아보고 그 장점을 보다 구체적으로 전달하는 방법에서부터 구인자의 입장에서 면접실시, 이력서 작성, 자기소개서 작성방법 등까지 체계적으로 교육하는 프로그램이며 신규 취업자, 가정주부, 장기적으로 휴직상태에 있었던 실직자에게 더욱 유익한 프로그램입니다.
성취프로그램의 참여를 희망하는 구직자는 누구나 참여할 수 있으며, 참여하고자하는 경우에는 가까운 고용센터에 문의하거나 워크넷(www.work.go.kr, www.worknet.go.kr )접속 후 참여신청이 가능합니다.

(www.work.go.kr, www.worknet.go.kr 접속 후 로그인 → 구직 클릭 → 상단 메뉴 취업도우미 클릭 → 좌측 메뉴 성취프로그램 클릭 , 프로그램 참여하기에서 참여신청)"
고용복지,생리휴가 사용청구 거부 시 대처,"근로기준법 제73조에 사용자는 여성 근로자가 청구하면 월1일의 생리휴가를 주어야 한다. 고 규정하고 있고, 동법 제114조에 이를 위반하는 경우 500만원 이하의 벌금에 처한다고 규정하고 있습니다.
따라서 사실상 생리일에 휴가를 사용할 수 있도록 법으로 보장하고 있으므로 생리휴가를 사용하고자 하는데도 사용자가 이를 허용하지 않을 경우 근로기준법에 위배되므로, 이에 대한 구제가 필요한 경우 지방고용노동관서에 진정 등을 제기할 수 있습니다."
고용복지,배우자의 출산휴가,"남녀고용평등과 일·가정 양립지원에 관한 법률 제18조의 2에 따라 사업주는 근로자가 배우자의 출산을 이유로 휴가를 청구하는 경우에는 10일의 휴가를 부여하여야 하며, 이 경우 사용한 휴가기간은 유급으로 하여야 합니다.
배우자 출산휴가는 근로자의 배우자가 출산한 날부터 90일이 지나면 청구할 수 없고 1회에 한정하여 나누어 사용할 수 있습니다."
고용복지,임신을 이유로 해고 시 구제 방법,"남녀고용평등과 일．가정양립 지원에 관한 법률 제11조(정년.퇴직 및 해고)에 ""사
업주는 근로자의 정년.퇴직 및 해고에 있어서 남녀를 차별하여서는 아니된다.""고 규정
하고 있고, 근로기준법 제23조(해고 등의 제한)에 ""사용자는 근로자에 대하여 정당한
이유없이 해고,휴직,정직, 전직, 감봉 기타 징벌을 하지 못한다.""고 규정하고, 같은
법 제28조(부당해고등의 구제신청)에 사용자가 근로자에게 부당해고 등을 하면 근로자
는 노동위원회에 구제를 신청할 수 있도록 규정하고 있습니다.

따라서 임신을 이유로 해고를 당하여 이에 대한 구제신청을 원할 경우 관할 지방노
동위원회에 ""해고 등의 구제신청서""를 제출할 수 있습니다."
고용복지,육아휴직 기간이 호봉산정 및 승급을 위한 근속기간에 포함되는가,"남녀고용평등과 일, 가정양립 지원에 관한 법률 제19조에 사업주는 육아휴직을 이유
로 해고 그 밖의 불리한 처우를 하여서는 아니되며, 육아휴직 기간동안은 당해 근로자
를 해고하지 못하고, 육아휴직 종료후에는 휴직전과 동일한 업무 또는 동등한 수준의
임금을 지급하는 직무에 복귀 시키도록 규정하고 있는바, 육아휴직기간은 승직, 승
급, 퇴직금, 연차휴가일수 가산등의 기초가 되는 근속기간에 포함하여야 합니다."
고용복지,성희롱 피해자에게 인사 상 불이익한 조치가 취해진 경우 대처,"남녀고용평등과 일, 가정양립 지원에 관한 법률 제14조에서 사업주는 직장내 성희롱
발생이 확인된 경우 지체없이 행위자에게 대하여 징계, 그밖에 이에 준하는 조치를 취
하여야하고, 그 피해 근로자에게 해고 그 밖의 불이익한 조치를 취하여서는 아니 된다
고 규정하고 있으므로 만약, 사업주가 이를 위반하여 성희롱 피해자에게 인사상 불이
익한 조치를 하였을 경우에는 사업장 관할 지방고용노동관서 근로개선지도과에 민원을 제기하면 남녀고용평등과일가정양립지원에 관한 법률 제37조2항에 의거 3년이하의 징역 또는 2천만원 이하의 벌금에 처해질 수 있으며, 피해 당사자는 지방노동위원회에 민원 신청을 하여 권리구제를 받을 수 있습니다."
고용복지,여의사(수련의)의 출산 전후 휴가,근로기준법 제74조에 의한 출산전후휴가는 근로기준법을 적용받는 모든 여성근로자에게 적용됨 ○ 따라서 여의사(수련의)가 병원의 지휘감독아래 노무를 제공하고 그 댓가로 임금을 지급받는 등 실질적인 사용종속관계가 인정되는 근로기준법상 근로자에 해당된다면 근로기준법 제74조에 의한 출산전후휴가 90일(둘이상 자녀를 임신한 경우 120일)을 보장받을 수 있습니다.
고용복지,출산전후 휴가를 30일만 사용토록 할 경우 구제방법,"근로기준법 제74조에 사용자는 임신중인 여성근로자에게 출산 전과 후를 통하여 90일(둘이상 자녀를 임신한 경우 120일)의 출산전후휴가를 주어야 하고, 이 경우 출산 후의 휴가기간이 연속하여 45일(둘이상 자녀를 임신한 경우 60일)이상이 되어야 한다고 규정하고 있으며, 같은 법 제15조에 이 법에 정한 기준에 미치지 못하는 근로조건을 정한 근로계약은 그 부분에 한하여 무효로 하고, 무효로 된 부분은 이 법에 정한 기준에 의한다. 라고 규정되어 있습니다. 따라서 회사의 취업규칙상 출산전후휴가를 30일만 사용하도록 규정하였다면 그 해당부분은 무효가 되고, 근로기준법에서 정한 기준이 적용됩니다.

만약, 사용자가 근로기준법에 의한 출산전후휴가를 부여하지 않을 경우 사용자에게는 2년이하의 징역 또는 2,000만원 이하의 벌금에 처하도록 규정되어 있으므로 관할 지방고용노동관서에 진정 등 민원을 제기하면 권리구제를 받을 수 있습니다."
고용복지,"생리휴가 사용 시 연,월차 발생 여부",근로기준법 제73조의 생리휴가는 법정휴가로 그 성질상 출근한 것으로 보아야 하므로 연차유급휴가 산정시 소정근로일수와 출근일수에 포함하여야 할 것입니다.
고용복지,생리휴가를 수당으로 대체 지급 시 근로기준법 위반인가,"근로기준법 제73조에 규정한 생리휴가는 생리로 인하여 근로에 어려움을 겪는 여성근로자에게 월1일의 휴식을 보장하여 모성을 보호하기 위한 제도로서, 사용자가 강행적으로 준수하여야 할 의무사항으로 회사사정 등을 이유로 생리휴가를 부여하지 아니하거나, 일괄적으로 수당으로 대체 지급하는 등 근로자가 사실상 생리휴가를 사용하지 못하도록 하는 경우에는 동 법 위반이 됩니다.

다만, 단체협약·취업규칙·근로계약 등에 생리휴가에 대해 노사가 달리 약정한 바가 없다면, 생리휴가를 청구하여 사용하는 경우 사용자는 휴가사용일에 상당하는 임금(통상임금)을 공제할 수 있습니다."
고용복지,자발적 실업자에게도 실업급여가 해당되는가,"현행법상 실업급여 수급자격은 고용보험 적용사업장에서 퇴직전 18개월 180일이상 근무하다가 비자발적 퇴직 또는 1년 이내 2개월 이상 임금체불, 질병으로 담당업무를 계속할 수 없는 사유 등 부득이한 사유로 직장을 그만둔 근로자가 근로의 의사와 능력을 가지고 적극적인 재취업활동을 하는 경우에 지급하고 있으며 자발적인 실직자에 대해서는 현재 지급되지 않습니다"
고용복지,육아 휴직기간 중 일부를 산전에 사용할 수 있는가,"2021.11.19.부터 임신중인 여성 근로자도 남녀고용평등과 일, 가정 양립 지원에 관한 법률 제19조의 규정에 의하여 육아휴직을 사용할 수 있습니다."
고용복지,출산휴가 중 근로자의 요청으로 업무 복귀가 가능한가,근로기준법 제74조에 규정된 출산전후휴가는 여성근로자의 모성을 보호하고 임신.출산등으로 인하여 소모된 체력을 회복하기 위하여 규정된 강행규정이므로 개별 근로자의 요구가 있다고 하여 90일 미만의 출산전후휴가를 부여하는 것은 법 위반에 해당됩니다.
고용복지,고용보험자격취득.상실확인방법,"고용보험 가입 이력은 고용산재보험토탈서비스(total.comwel.or.kr)에서 확인할 수 있으며, 신고 내용이 사실과 다른 경우에는 사업장 관할 근로복지공단 지사에 피보험자격 확인청구서를 제출하시면 됩니다."
고용복지,"동일가치노동, 동일임금 판단기준","동일가치노동 이란 노동수행에서 요구되는 ①기술, ②노력, ③책임, ④작업조
건, ⑤기타의 기준으로 볼 때 서로 비교되는 남녀간의 노동이 동일하거나, 거의 같
은 성질인 노동 또는 두 업무가 다소 다르더라도 직무평가 등의 방법에 의해 본질
적으로 동등한 가치가 인정되는 노동을 말하며, 동일가치노동 동일임금원칙의 서
로 비교되는 남녀간의 노동이 동일가치인가를 판단할때에는 위 4가지 기준외에 해
당 근로자의 학력, 경력, 근속년수 등을 종합적으로 고려하여야 하며 서로 비교되
는 남녀의 노동이 모두 하나의 사업장에서 이루어지는 경우에 한합니다.

다만, 비교되는 남녀근로자의 노동이 외형상 비슷하더라도 당해 근로자 사이에
학력,경력, 근속년수, 직급 등에 차이가 있고, 그것이 객관적 합리적인 기준으로
정립되어 있는 경우는 임금의 차별로 볼 수 없습니다.

- 기술 : 자격증, 학위, 습득된 경험 등 업무수행 능력또는 솜씨의 객관적 수준
- 노력 : 업무수행에 필요한 육체적, 정신적 힘의 작용
- 책임 : 업무에 내재된 임무의 성격, 범위, 사업주가 당해 직무에 의존하는 정도
- 작업조건 : 소음, 열, 물리적.화학적 위험의 정도 등 당해 업무에 종사하는 근로
자가 통상적으로 처하는 작업환경"
고용복지,계약직 근로자의 산전후 휴가 가능한가,"근로기준법 제74조의 규정은 근로계약의 형태와 관계없이 근로기준법의 적용을 받
는 모든 근로자에게 적용되므로 계약직, 임시직, 시간제 여성근로자들에게도 산전후휴
가를 부여하여야 합니다.

다만, 단기 계약직 근로자로서 출산전후휴가 실시 중 계약기간이 만료되는 경우에는 출산전후휴가도 종료됩니다.(단, 기간제,파견근로자 출산전후휴가급여 등에 상당하는 금액 제도를 통해 잔여휴가에 대한 급여지원을 받을 수 있음)"
고용복지,경영상 해고로 인한 퇴직 시 실업급여 지급여부,"상용근로자의 경우 실업급여를 받기 위해서는 퇴직 시 사업주에게 이직확인서를 요청하거나, 고용센터에서 사업주에게 이직확인서를 요구하여야 합니다.
사업주는 사업장 소재지 관할 고용복지플러스센터에 이직확인서를 제출하고, 퇴직자는 고용복지플러스센터에 방문하여 실업급여 수급자격 신청을 하여야 합니다.

실업을 신고한 날로부터 1주~4주 범위내에서 지정된 실업인정일에 출석하여 적극적인 재취업활동(면접, 이력서 제출 등의 구체적인 행위)으로 거주지 관할 고용센터에서 실업을 인정받으면 실업급여가 지급됩니다."
고용복지,30일 미만 육아휴직 사용 시 육아휴직급여를 지급하는가,"고용보험법 제70조 규정에 의하여 육아휴직급여는 남녀고용평등과 일．가정양 립 지원에 관한 법률 제19조의 규정에 의한 육아휴직을 30일(근로기준법 제74조 의 규정에 의한 산전후휴가기간 90일과 중복되는 기간을 제외)이상 부여받은 피보 험자중에서 일정요건을 갖춘 자에게 지급하도록 규정하고 있으므로 30일 미만의 육 아휴직을 실시한 경우에는 육아휴직급여가 지급되지 아니합니다.

다만, 육아휴직급여 신청일 기준, 최근 12개월 이내에 사용한 육아휴직이 있다면 해당 기간을 합산하여 30일 이상인 경우에는 육아휴직급여를 지급받을 수 있습니다.

- 일정한 요건 :
1. 육아휴직개시일 이전에 고용보험피보험단위기간이 통산하여 180일 이상일 것.
2. 동일한 자녀에 대해서 피보험자인 배우자가 육아휴직을 부여받지 않고 있을 것.
3. 육아휴직개시일 이후 1월부터 종료일 이후 12월 이내에 신청 할 것"
고용복지,생리휴가를 적치하여 사용할 수 있는가,"생리휴가는 여성근로자에 대해, 생리사실이 있는 날중 월 1일의 근로의무를 면제시켜주는 것으로써, 휴가의 성격상 여러달의 생리휴가를 적치하였다가 사용할 수 없음"
고용복지,임산부의 5개월 근무 서약서 효력이 있는가,"남녀고용평등과 일, 가정양립 지원에 관한 법률 제11조의 규정에 의하여 사업주는
근로자의 정년·퇴직 및 해고에 있어서 남녀를 차별하여서는 아니되고, 근로여성의 혼
인, 임신 또는 출산을 퇴직사유로 예정하는 근로계약을 체결하여서는 아니 된다고 규
정하고 있으므로 임신 5개월까지만 근무한다는 서약서는 법 위반으로 무효가 되므로
효력이 없습니다.

따라서 회사측에서 계약직 전환을 모색함에 있어 합리적이고 공정한 기준을 마련하지
않고, 위 서약서 또는 단지 여성이라는 이유만으로 일반직을 퇴직하고 계약직으로 근
무하도록 하는 것은 법 위반이라고 할 수 있습니다."
고용복지,산전후 휴가기간 중 급여,"근로기준법 제74조의 규정에 의하여 사업주는 임신중의 여성에 대하여 출산전후
를 통하여 90일간의 보호휴가를 주되, 이경우 반드시 산후에 45일 이상이 확보되도
록 하여야 하며 출산전후휴가중 최초60일분에 대하여는 사업주가 당해근로자의 통상
임금 전액을 지급하여야 합니다

- 이 규정은 사업주 또는 근로자의 동의하에 선택할 수 있는 사항이 아닌 강행규정
이므로 사업주는 반드시 이를 이행하여야 하고, 만약 위반하였을 경우에는 근로기
준법에 의하여 형사처벌을 받을 수 있습니다.
■ 통상임금이라 함은, 근로기준법시행령 제6조에 의해 정기적 일률적으로 소정근
로 또는 총근로에 대하여 지급하기로 정하여진 시간급금액, 일급금액, 월급금액 또
는 도급금액을 의미함
■ 출산전후 휴가기간 중 최초 60일분에 대하여는 사업주가 지급하고, 60일을 초과하는 30일분에 대하여는 고용보험에서 지급함. (단, 우선지원대상기업의 경우 출산전후휴가기간 90일분을 고용보험에서 지급. 다만, 이 경우에도 최초 60일의 통상임금과 고용보험 급여와의 차액분은 사업주가 지급해야 함 )"
고용복지,임신중의 여성근로자 근로전환 배치 요구 시 그 시점은,"사용자가 근로기준법 제74조제3항에 의해 임신중인 여성근로자로 부터 요구 있는
경우 쉬운 종류의 근로로 전환하도록 규정되어 있으나, 몇일 이내에 전환시켜야 한다
는 규정은 별도로 없음

동 조항이 임산부 및 태아의 건강보호를 목적으로 하는 것임을 감안할 때 사용자는
근로자의 배치전환 청구가 있을 경우, 가능한 빠른 시간내에 쉬운 종류의 근로로 전환
시켜야 합니다."
고용복지,모집과 채용에 있어 어떠한 경우가 남녀차별에 해당하는가,"모집과 채용에 있어서 남녀차별 해당 여부는 구체적인 사례에 따라 판단하여야 하
나 대체적으로 다음과 같은 경우는 차별에 해당한다고 판단됨

① 특정성(여성 또는 남성)에게는 전적으로 모집·채용의 기회를 주지 아니하는 경
우
② 직종별로 남녀를 분리 모집하거나 성별로 채용 예정인원을 배정함으로써 특정직
종에 특정성의 채용기회를 제한하는 경우
③ 특정성에 대하여만 배우자나 보호자의 취업동의서 또는 보증 등을 요구하는 경
우
④ 모집·채용에 있어 남성 또는 여성만을 가리키는 직종의 명칭을 사용하는 경우
(단, 여자 또는 남자를 배제하는 것이 아님이 분명한 경우는 제외)
⑤ 학력·경력 등 자격이 같음에도 불구하고 특정성을 다른성보다 낮은 계급 또는
직위에 모집·채용하는 경우
⑥ 남녀가 동일자격임에도 특정성을 불리한 고용형태로 채용하는 경우(예, 여성만
을 비정규직으로 채용)
⑦ 특정성의 채용기회를 제한할 목적으로 직무 수행상 반드시 필요하지 아니한 채
용조건을 부과한 경우
⑧ 면접·구술시험의 경우 객관적인 기준에 의하지 아니하고 특정성을 불리하게 대
우함으로써 특정성의 채용기회를 제한하는 경우
⑨ 기타 근로자의 모집 및 채용에 있어서 남녀에게 평등한 기회를 주지 아니한 것
으로 인정되는 경우"
고용복지,조기 재취직 시 재취업 수당 지급 대상과 그 방법,"1. 조기재취업수당은 실업급여 수급자격을 인정받은 자가 고용보험법 제64조 및 같은법 시행령 제84조에 따라 실업의 신고일로부터 14일이 지난 후 소정급여일수를 1/2 이상 남기고 재취업한 경우로서 가. 12개월 이상 계속하여 고용된 경우이거나 이직일 당시 65세 이상인 사람으로서 6개월 이상 계속하여 고용될 것으로 직엄안정기관의 장이 인정하는 경우 나. 12개월 이상 계속하여 스스로 영리를 목적으로 사업을 영위한 경우이거나 이직일 당시 65세 이상인 사람으로서 6개월 이상 계속하여 사업을 영위할 것으로 직업안정기관의 장이 인정하는 경우
2. 조기재취업 수당청구서에 사업주확인서(직인필수)와 재직증명서(또는 근로계약서) 등을 첨부하여 최종수급지 관할 직업안정기관의 장에게 제출하면, 해당여부를 확인하여 구직급여일액에 미지급일수의 2분의 1을 곱한 금액을 지원합니다 ※ 첨부서류 - 사업에 고용된 경우: 근로계약서(재직증명서) - 자영업을 하는 경우: 사무실 임대계약서나 과세 증명자료(매출 전표등)
* 자세한 내용은 해당 관할 센터에 상담 필수"
고용복지,출산전후 휴가 및 육아휴직 사용기간,"출산전후휴가 90일(다태아 120일)와 육아휴직 1년은 각각 별개로 사용할 수 있으며, 육아휴직은 출산후 휴가 45일(다태아 60일)이후부터 육아휴직대상 자녀범위가 만 8세 이하(만 9세가 되기 전) 또는 초등학교 2학년 이하(3학년 되기 전) 자녀는 1년 범위내에서 사용할 수 있습니다.(법령개정 2014.1.14.)"
