instruction,output
종잣돈을 왜 모아야 하는거야?,"사회생활을 시작하여 월급을 받게 되면, 비록 적은 금액이라도 꾸준히 저축하여 종잣돈을 모으는 과정이 꼭 필요합니다. 종잣돈을 모은 사람과 그렇지 못한 사람 사이에는 결혼 자금이나 주택구입자금, 노후대비 등에 있어 큰 차이가 생기게 됩니다."
종잣돈을 모으는 방법을 알려줘.,"자신의 소득과 투자성향, 수익률, 안정성, 자금필요 시점 등을 종합적으로 고려하여 신중하게 투자(저축)하는 방법을 선택해야 합니다.

일반적으로 사회초년생에게 권해지는 방법에는 크게 *정기적금*과 *적립식펀드*가 있습니다. *정기적금*은 수익률이 낮지만 원금손실 위험이 없고, *적립식펀드*는 수익률이 높지만 원금손실의 위험이 있습니다.

정기적금은 은행, 상품별로 이자율이 다르고 특판여부, 가입방법, 세제혜택 여부 등에 따라 세후수익률이 다르기 때문에 잘 비교해보고 선택해야 합니다.
적립식펀드 또한 회사별, 상품별로 운용실적, 수수료가 크게 차이나므로 역시 잘 비교해보고 선택해야 합니다."
예금과 적금의 차이에 대해서 알려줘.,"예금은 정해진 금액을 한 번에 은행에 맡기는 상품이고, 적금은 일정 기간 동안 저금하여 은행에 맡기는 적립식 상품입니다. "
예금의 종류에 대해서 알려줘.,"예금에는 *정기예금*과 *보통예금*이 있습니다.

*정기예금* : 일정 기간 동안 일정 금액을 맡기는 상품입니다.
*보통예금* : 자유롭게 입출금이 가능한 상품입니다."
적금의 종류에 대해서 알려줘.,"적금에는 *자유적금*과 *정기적금*이 있습니다.

*정기적금* : 일정 기간 동안 일정 금액을 매달 저축하는 상품입니다.
*자유적금* : 정해진 기간 내에 자유롭게 저축하는 상품입니다."
예금과 적금 중 어떤 상품이 이자율이 높아?,"같은 금리라면 예금이 적금보다 더 유리합니다. 적금의 특징 때문인데, 예를 들어 마지막 달에 넣는 금액은 1개월치의 이자만 붙게 됩니다. 따라서 이자율이 같다고 하더라도 예금의 총이자가 더 커지게 되는 것입니다."
예금과 적금은 각각 어떤 상황에 사용하는 것이 좋아?,"적금은 목돈을 만들 때, 예금은 목돈을 굴릴 때 사용합니다.

사회초년생의 경우 목돈을 만들기 위해 우선 정기적금을 가입하는 것을 추천합니다. 월급날마다 정기적금 자동이체가 되도록 설정하고 남은 돈으로 생활하는 방식으로 저축하는 습관을 만들면, 지출금이 늘어나는 것도 막을 수 있습니다.

목돈을 만들고 난 후에는 정기예금을 통해 목돈을 굴리는 방법을 활용하면 됩니다."
특판 상품이 뭐야?,"특판은 특별판매의 줄임말으로, 금융권에서 더 높은 금리의 상품을 *특판예금*, *특판적금*으로 내놓을 때가 있습니다. 이를 잘 활용하면 종잣돈을 만들기 더 유리합니다."
"예금, 적금을 할 때 금액을 어느정도로 하는 것이 좋을까?","이자를 포함해 잔액이 최대 5천만원이 넘지 않도록 하는 것이 좋다.
금융기관이 파산하더라도 예금자보호법에 따라 1인당 5천만원까지 보장해주기 때문이다.

원금과 이자를 포함해 4천만원 ~ 4500만원 정도로 저축하면 안전합니다. 저축은행 역시 5천만원이 보장됩니다."
"예금, 적금을 할 때 한 상품에 집중투자하는 것이 좋을까? 분산투자하는 것이 좋을까?","분산투자하는 것이 좋습니다. 예기치 않은 실직이나 상해, 큰돈이 드는 경조사가 발생하더라도 여러 개 중 한 개만 해지하면 되기 때문에 손해를 줄일 수 있습니다. 수중에 1천만원이 있다면 500만, 300만, 200만의 예금 3개로 나눠 가입하는 식입니다."
적립식 펀드에 대해서 자세히 설명해줘.,"적립식 펀드는 목돈 마련을 위해, 일정 기간동안 일정 금액을 정기적으로 펀드에 투자함으로써 매입시점의 위험을 분산시키고 평균 매입단가를 안정화하는 방법입니다.
안정되고 높은 수익을 올릴 수 있는 투자 방식입니다."
적금과 적립식펀드 중 어떤 것을 선택하는 것이 좋을까?,"기간이 짧을 경우 큰 차이가 없지만, 저축기간이 길어진다면 적립식 펀드가 유리합니다.
다만, 적금은 안정성이 높다는 점이 장점입니다. 적립식 펀드는 수익률이 더 높지만 원금 손실에 대한 위험성도 존재합니다.

개인의 투자 성향에 맞게 선택하는 것이 좋겠습니다."
실업급여 신청방법,"고용보험법 제40조에 따른 요건을 충족하여 실업급여를 신청하고자 할 경우, 퇴사 후 지체없이 거주지 관할 고용센터에 방문하여 실업을 신고하고 실업급여 수급자격 인정을 신청하면 되며, 퇴직 당시 연령과 고용보험 가입기간에 따라 120일~270일의 범위 내에서 퇴직 전 평균임금의 60%가 지급됩니다.
※ 실업급여는 이직일의 다음날부터 12개월을 초과하면 소정급여일수가 남아있더라도 지급을 받을 수 없음

[실업급여 신청방법]
① 전산망(www.work24.go.kr)을 통하여 구직신청을 하고,
② 거주지 관할 고용센터를 방문(신분증 지참)하여 고용센터에서 실시하는 실업급여 신청자 취업지원 설명회 참석
※ www.work24.go.kr에서 실업급여 수급 설명회 온라인 교육 수강 가능
③ 고용센터에서 실시하는 취업지원 설명회에 따라 수급자격인정신청서 및 재취업활동계획서 작성·제출
※ 워크넷으로 구직등록 후 방문시 워크넷 활용교육 및 구직표 작성시간을 면제받을 수 있음
④ 취업지원 설명회 종료 후, 개별상담을 거쳐 추후 일정에 대하여 안내받은 후 귀가
⑤ 관할 고용센터는 원칙적으로 접수 후 14일 이내에 수급자격 인정여부를 결정, 통지"
실업급여 지급기간과 지급금액,실업급여는 실직자가 고용보험에 가입한 기간(피보험기간) 및 이직 당시의 연령에 따라 120일~270일간 지급됩니다. 이직 전 직장에서 지급받던 평균임금의  60%를 지급받게 됩니다.
실업급여는 신청 기간,"퇴직 후 되도록 빨리 거주지 관할 고용센터에 출석하여 구직신청(인터넷 신청 가능) 및 수급자격 인정신청을 하시면 됩니다. 언제까지 실업급여 지급을 신청해야 하는지에 대한 제한은 없으나, 실업급여는 이직일의 다음날로부터 12개월을 초과하면 지급받을 소정급여일수라 남아있는 경우라도 지급을 받을 수 없으므로 이직 후 이에 유의하여 가능한 빨리 신청하셔야 합니다."
출산전후휴가급여 받는 방법,"출산전후 휴가급여는 근로기준법 제74조에 따른 출산전후휴가를 사용한 근로자 중 출산전후휴가 종료일 이전에 피보험단위기간이 통산하여 180일 이상이 되어야 합니다.
- 이 조건에 해당되면 출산전후휴가 개시일 이후 1개월부터 종료일 이후 12개월 이내에 거주지 또는 사업장 관할 고용센터에 출산전휴가급여를 신청하실 수 있습니다.
- 출산전후 휴가급여액은 근로기준법상 통상임금액에 상당하는 금액(상한액 200만원)을 지급하게 되며, 이때 산정된 통상임금이 200만원을 초과하는 경우에는 200만원을 지급하게 됩니다.
"
육아휴직급여 받는 방법,"육아휴직급여는 육아휴직을 30일이상 사용한 근로자중 육아휴직개시일 이전에 피보험단위기간이 통산하여 180일이상이 되어야 하고, 같은 자녀에 대하여 피보험자인 배우자가 30일 이상의 육아휴직을 부여받지 아니하거나 육아기 근로시간 단축을 30일 이상 실시하지 아니하고 있을 것을 요건으로 합니다.

- 이 조건이 해당되면 육아휴직개시일 이후 1월부터 종료일 이후 12월 이내에 사업주로부터 육아휴직확인서를 발급 받아 거주지 또는 사업장 관할 고용센터에 육아휴직급여를 신청할 수 있습니다.

- 육아휴직급여액 첫 3개월은 육아휴직 개시일 기준 월 통상임금의 80%(상한액 월 150만원, 하한액 월 70만원)를 지원, 나머지 기간은 육아휴직 개시일 기준 월 통상임금의 50%(상한액 120만원, 하한액 70만원)를 지원하게 됩니다.

- 단, 산정된 급여액 중 25%는 육아휴직 종료 후 해당 사업장에 복직하여 6개월 이상 계속 근무한 경우에 합산하여 일시불로 지급(25%를 빼고 남은 금액이 70만원 미만일 경우, 70만원을 지급)하게 됩니다."
구인구직 신청절차,"구인·구직 신청을 하고자 하는 경우에는 고용노동부 취업포털사이트인 워크넷 (www.work.go.kr)에 접속하여 구인·구직신청서를 작성·제출하시거나 가까운 고용센터를 방문하여 구인· 구직신청서를 작성하여 제출하시면 됩니다.

구인·구직등록과 관련하여 궁금한 사항이 있으면 가까운 고용센터 또는 고객상담센터(국번없이 1350)으로 문의하여 주시기 바랍니다."
실업급여 해당요건,실업급여 수급 요건을 충족하기 위해서는 근로자는 이직일 이전 18개월 동안 사업주로부터 보수를 지급받은 일수(피보험단위기간)가 180일 이상이어야 합니다.
인터넷으로 구인신청 하는 방법,"인터넷상으로 구인신청을 하고자 하는 경우에는 고용24(www.work24.go.kr)에 접속하여 기업회원으로 가입한 후 마이페이지 좌측 메뉴의 [구인신청 등록]을 클릭하시어 구인신청서를 작성, 등록(사업자등록증은 관할센터에 팩스 또는 온라인첨부)하면 관할 고용센터 업무담당자가 급여 및 직종, 관련법규 위반여부 등 구인조건 확인 후 인증절차(1-2일의 기간소요)를 거쳐 구인신청 완료 시 워크넷에 구인신청내용이 공개됩니다.

참고로, 인터넷으로 구인신청이 어려운 경우에는 사업자등록증을 지참하여 사업장 소재지 관할 고용센터나 새일센터, 일자리센터 등을 방문하시면 직접 구인신청이 가능합니다."
해외취업 지원 사업,"해외 진출을 희망하는 청년을 연수, 알선 취업 및 정착지원, 정보제공 등을 통하여 해외취업으로 연계하는 것이며, 주요 내용으로는 K-Move스쿨, 민간해외취업알선 및 해외취업정착지원금 등이 있습니다.

또한 청년들이 쉽게 해외취업 정보를 찾을 수 있도록 월드잡플러스(www.worldjob.or.kr)에서 관련 서비스를
통합 제공하고 있습니다.

더 자세한 사항은 월드잡플러스(www.worldjob.or.kr) 접속 또는 한국산업인력공단(1644-8000) 상담을 통해
확인하실 수 있습니다."
거짓 구인광고에 대한 신고방법,"거짓구인광고로 피해를 입은 경우에는 워크넷 홈페이지 (www.work.go.kr-하단 거짓구인광고신고) 또는 고용24 홈페이지(www.work24.go.kr-우측 퀵메뉴-고객센터-거짓구인광고신고)를 이용하여 신고하실 수 있습니다.

※ 참고로, 직업안정법 시행령 34조에서 규정하는 거짓 구인광고의 범위는 아래와 같습니다.
1. 구인을 가장하여 물품판매, 수강생모집, 직업소개, 부업알선, 자금모금등을 행하는 광고
2. 거짓 구인을 목적으로 구인자의 신원(업체명 또는 성명)을 표시하지 아니하는 광고
3. 구인자가 제시한 직종, 고용형태, 근로조건등이 응모할 때의 그것과 현저히 다른광고
4. 기타 광고의 중요내용이 사실과 다른 광고"
구직 등록필증 발급방법,"워크넷(www.work.go.kr)에 접속하여 개인회원으로 가입 로그인 후, ""개인회원서비스""에서 ""이력서관리(구직신청)"" 클릭 후 개인이력서 등록 후 구직신청 인증대기 → 발급이 가능합니다."
육아휴직자의 연차휴가 신청방법,"2018.5.29. 이후 육아휴직을 개시한 경우에는 출근율 계산시 육아휴직기간을 출근한 것으로 봅니다.

-2018.5.29. 이전 육아휴직이 종료되었거나, '18.5.29. 이전부터 육아휴직을 사용하고 있는 경우에는 육아휴직기간을 제외한 나머지 소정근로일수에 대한 출근율에 따라 판단하되 당해 사업장의 당해년도 총 소정근로일수에 대한 육아휴직한 근로자의 출근일수비율을 곱하여 휴가일수를 산정하여 지급함."
외국인 근로자 고용절차,"일반외국인근로자를 고용하실 경우
① 내국인 구인노력: 내국인 구인노력이 필요
*신문, 방송 등을 통해 구인노력을 한 경우는 단축
② 외국인고용허가서 신청 및 발급
*알선(고용노동부 알선) → 채용 → 고용허가서 발급(추가)
③ 근로계약체결
*사증발급인정서 신청 및 발급(출입국관리사무소)(변경)
④ 외국인근로자 입국 및 취업교육
*사업주 부담으로 입국 즉시 2박 3일간 16시간 이상의 취업교육을 받아야 함
⑤ 사업장 배치

특례외국인근로자(외국국적동포)를 고용하실 경우
① 내국인 구인노력: 7일간의 내국인 구인노력이 필요
*신문, 방송 등을 통해 구인노력을 한 경우는 3일로 단축"
고용노동부에서 실시하는 심리검사,"고용노동부에서 제공하는 심리검사는 청소년들을 위한 검사와 성인들을 위한 검사로 나뉘어져 있는데, 청소년용으로는 직업흥미검사, 일반직업적성검사, 직업가치관검사, 진로발달검사, 직업인성검사가 있고 성인용으로는 직업선호도 검사와 성인용 직업적성검사, 구직욕구진단검사, 직업가치관검사가 있습니다.

또한, 구직자와 재취업 자를 위한 구직준비도검사와 직업전환검사, 창업을 희망하는 분들에게는 창업진단검사도 준비되어 있습니다.흥미와 선호도를 측정하므로 써 직업의 선호 유형을 찾아보실 수 있습니다.

관할 고용센터에 직접 방문하여 지필검사를 받거나 워크넷을 통한 온라인 검사가 가능합니다.
www.work.go.kr, www.worknet.go.kr 접속 후 로그인 → 직업·진로 선택 → 직업심리검사 메뉴에서 실시"
육아휴직자의 퇴직금 산정방식,"육아휴직기간은 남녀고용평등과 일, 가정 양립 지원에 관한 법률 제19조제4항의 규
정에 따라 퇴직금산정의 기초가 되는 근속기간에는 포함됩니다.
그러나 근로기준법 시행령 제2조에 규정에 의하여 육아휴직기간과 그 기간중에 지불
된 임금은 평균임금 산정기준이 되는 기간과 임금총액에서는 제외됩니다."
"퇴직금 산정 시 산전,후 휴가기간이 포함되는가","근로기준법 제60조 제6항의 규정에 의하여 출산전후휴가기간은 출근한 것으로 간주하
도록 규정되어 있으므로 퇴직금산정시 출산전후휴가기간은 근속기간에 포함하여야 합니
다.
그러나 근로기준법 시행령 제2조의 규정에 의하여 출산전후휴가기간과 그 기간중에 지
불된 임금은 평균임금 산정기준이 되는 기간과 임금의 총액에서는 제외됩니다."
출산휴가 부여 및 급여보전 방법,"근로기준법 제74조의 규정에 의하여 사업주는 임신중의 여성근로자에 대하여 출산전
후를 통하여 90일의 보호휴가를 주어야 하고, 이 경우 반드시 산후에 45일 이상이 확
보되도록 하여야 합니다.

출산전후휴가기간동안의 임금은 최초 60일분은 사용자가 지급하여야 하고, 60일을 초
과하는 30일분에 대하여는 고용보험에서 지급하고 있음. (출산전후 휴가기간 중 최초 60일분에 대하여는 사업주가 지급하고, 60일을 초과하는 30일분에 대하여는 고용보험에서 지급함. (단, 우선지원대상기업의 경우 출산전후휴가기간 90일분을 고용보험에서 지급. 다만, 이 경우에도 최초 60일의 통상임금과 고용보험 급여와의 차액분은 사업주가 지급해야 함 )"
육아휴직 신청자격,"남녀고용평등과 일·가정양립 지원에 관한 법률 제19조에의해 임신 중인 여성근로자나, 8세 이하 또는 초등학교 2학년 이하(입양한 자녀 포함)의 자녀가 있는 근로자(남,녀 불문)가 그 영유아의 양육을 위하여 휴직을 신청하는 경우 1년 이내로 육아휴직 사용이 가능합니다. ○ 단, 같은 법 시행령 제10조에서 육아휴직을 시작하려는 날의 전날까지 당해 사업장에서의 계속 근로한 기간이 6개월 미만인 경우에는 사업주가 육아휴직을 허용하지 않을 수도 있습니다."
성취프로그램 참가방법,"성취프로그램이란 성공적인 취업을 지원하기 위한 선진국형 집단상담 프로그램으로서 5일동안 매일 6시간씩 집단상담 및 교육을 통해 자신의 장·단점을 찾아보고 그 장점을 보다 구체적으로 전달하는 방법에서부터 구인자의 입장에서 면접실시, 이력서 작성, 자기소개서 작성방법 등까지 체계적으로 교육하는 프로그램이며 신규 취업자, 가정주부, 장기적으로 휴직상태에 있었던 실직자에게 더욱 유익한 프로그램입니다.
성취프로그램의 참여를 희망하는 구직자는 누구나 참여할 수 있으며, 참여하고자하는 경우에는 가까운 고용센터에 문의하거나 워크넷(www.work.go.kr, www.worknet.go.kr )접속 후 참여신청이 가능합니다.

(www.work.go.kr, www.worknet.go.kr 접속 후 로그인 → 구직 클릭 → 상단 메뉴 취업도우미 클릭 → 좌측 메뉴 성취프로그램 클릭 , 프로그램 참여하기에서 참여신청)"
생리휴가 사용청구 거부 시 대처,"근로기준법 제73조에 사용자는 여성 근로자가 청구하면 월1일의 생리휴가를 주어야 한다. 고 규정하고 있고, 동법 제114조에 이를 위반하는 경우 500만원 이하의 벌금에 처한다고 규정하고 있습니다.
따라서 사실상 생리일에 휴가를 사용할 수 있도록 법으로 보장하고 있으므로 생리휴가를 사용하고자 하는데도 사용자가 이를 허용하지 않을 경우 근로기준법에 위배되므로, 이에 대한 구제가 필요한 경우 지방고용노동관서에 진정 등을 제기할 수 있습니다."
배우자의 출산휴가,"남녀고용평등과 일·가정 양립지원에 관한 법률 제18조의 2에 따라 사업주는 근로자가 배우자의 출산을 이유로 휴가를 청구하는 경우에는 10일의 휴가를 부여하여야 하며, 이 경우 사용한 휴가기간은 유급으로 하여야 합니다.
배우자 출산휴가는 근로자의 배우자가 출산한 날부터 90일이 지나면 청구할 수 없고 1회에 한정하여 나누어 사용할 수 있습니다."
임신을 이유로 해고 시 구제 방법,"남녀고용평등과 일．가정양립 지원에 관한 법률 제11조(정년.퇴직 및 해고)에 ""사
업주는 근로자의 정년.퇴직 및 해고에 있어서 남녀를 차별하여서는 아니된다.""고 규정
하고 있고, 근로기준법 제23조(해고 등의 제한)에 ""사용자는 근로자에 대하여 정당한
이유없이 해고,휴직,정직, 전직, 감봉 기타 징벌을 하지 못한다.""고 규정하고, 같은
법 제28조(부당해고등의 구제신청)에 사용자가 근로자에게 부당해고 등을 하면 근로자
는 노동위원회에 구제를 신청할 수 있도록 규정하고 있습니다.

따라서 임신을 이유로 해고를 당하여 이에 대한 구제신청을 원할 경우 관할 지방노
동위원회에 ""해고 등의 구제신청서""를 제출할 수 있습니다."
육아휴직 기간이 호봉산정 및 승급을 위한 근속기간에 포함되는가,"남녀고용평등과 일, 가정양립 지원에 관한 법률 제19조에 사업주는 육아휴직을 이유
로 해고 그 밖의 불리한 처우를 하여서는 아니되며, 육아휴직 기간동안은 당해 근로자
를 해고하지 못하고, 육아휴직 종료후에는 휴직전과 동일한 업무 또는 동등한 수준의
임금을 지급하는 직무에 복귀 시키도록 규정하고 있는바, 육아휴직기간은 승직, 승
급, 퇴직금, 연차휴가일수 가산등의 기초가 되는 근속기간에 포함하여야 합니다."
성희롱 피해자에게 인사 상 불이익한 조치가 취해진 경우 대처,"남녀고용평등과 일, 가정양립 지원에 관한 법률 제14조에서 사업주는 직장내 성희롱
발생이 확인된 경우 지체없이 행위자에게 대하여 징계, 그밖에 이에 준하는 조치를 취
하여야하고, 그 피해 근로자에게 해고 그 밖의 불이익한 조치를 취하여서는 아니 된다
고 규정하고 있으므로 만약, 사업주가 이를 위반하여 성희롱 피해자에게 인사상 불이
익한 조치를 하였을 경우에는 사업장 관할 지방고용노동관서 근로개선지도과에 민원을 제기하면 남녀고용평등과일가정양립지원에 관한 법률 제37조2항에 의거 3년이하의 징역 또는 2천만원 이하의 벌금에 처해질 수 있으며, 피해 당사자는 지방노동위원회에 민원 신청을 하여 권리구제를 받을 수 있습니다."
여의사(수련의)의 출산 전후 휴가,근로기준법 제74조에 의한 출산전후휴가는 근로기준법을 적용받는 모든 여성근로자에게 적용됨 ○ 따라서 여의사(수련의)가 병원의 지휘감독아래 노무를 제공하고 그 댓가로 임금을 지급받는 등 실질적인 사용종속관계가 인정되는 근로기준법상 근로자에 해당된다면 근로기준법 제74조에 의한 출산전후휴가 90일(둘이상 자녀를 임신한 경우 120일)을 보장받을 수 있습니다.
출산전후 휴가를 30일만 사용토록 할 경우 구제방법,"근로기준법 제74조에 사용자는 임신중인 여성근로자에게 출산 전과 후를 통하여 90일(둘이상 자녀를 임신한 경우 120일)의 출산전후휴가를 주어야 하고, 이 경우 출산 후의 휴가기간이 연속하여 45일(둘이상 자녀를 임신한 경우 60일)이상이 되어야 한다고 규정하고 있으며, 같은 법 제15조에 이 법에 정한 기준에 미치지 못하는 근로조건을 정한 근로계약은 그 부분에 한하여 무효로 하고, 무효로 된 부분은 이 법에 정한 기준에 의한다. 라고 규정되어 있습니다. 따라서 회사의 취업규칙상 출산전후휴가를 30일만 사용하도록 규정하였다면 그 해당부분은 무효가 되고, 근로기준법에서 정한 기준이 적용됩니다.

만약, 사용자가 근로기준법에 의한 출산전후휴가를 부여하지 않을 경우 사용자에게는 2년이하의 징역 또는 2,000만원 이하의 벌금에 처하도록 규정되어 있으므로 관할 지방고용노동관서에 진정 등 민원을 제기하면 권리구제를 받을 수 있습니다."
"생리휴가 사용 시 연,월차 발생 여부",근로기준법 제73조의 생리휴가는 법정휴가로 그 성질상 출근한 것으로 보아야 하므로 연차유급휴가 산정시 소정근로일수와 출근일수에 포함하여야 할 것입니다.
생리휴가를 수당으로 대체 지급 시 근로기준법 위반인가,"근로기준법 제73조에 규정한 생리휴가는 생리로 인하여 근로에 어려움을 겪는 여성근로자에게 월1일의 휴식을 보장하여 모성을 보호하기 위한 제도로서, 사용자가 강행적으로 준수하여야 할 의무사항으로 회사사정 등을 이유로 생리휴가를 부여하지 아니하거나, 일괄적으로 수당으로 대체 지급하는 등 근로자가 사실상 생리휴가를 사용하지 못하도록 하는 경우에는 동 법 위반이 됩니다.

다만, 단체협약·취업규칙·근로계약 등에 생리휴가에 대해 노사가 달리 약정한 바가 없다면, 생리휴가를 청구하여 사용하는 경우 사용자는 휴가사용일에 상당하는 임금(통상임금)을 공제할 수 있습니다."
자발적 실업자에게도 실업급여가 해당되는가,"현행법상 실업급여 수급자격은 고용보험 적용사업장에서 퇴직전 18개월 180일이상 근무하다가 비자발적 퇴직 또는 1년 이내 2개월 이상 임금체불, 질병으로 담당업무를 계속할 수 없는 사유 등 부득이한 사유로 직장을 그만둔 근로자가 근로의 의사와 능력을 가지고 적극적인 재취업활동을 하는 경우에 지급하고 있으며 자발적인 실직자에 대해서는 현재 지급되지 않습니다"
육아 휴직기간 중 일부를 산전에 사용할 수 있는가,"2021.11.19.부터 임신중인 여성 근로자도 남녀고용평등과 일, 가정 양립 지원에 관한 법률 제19조의 규정에 의하여 육아휴직을 사용할 수 있습니다."
출산휴가 중 근로자의 요청으로 업무 복귀가 가능한가,근로기준법 제74조에 규정된 출산전후휴가는 여성근로자의 모성을 보호하고 임신.출산등으로 인하여 소모된 체력을 회복하기 위하여 규정된 강행규정이므로 개별 근로자의 요구가 있다고 하여 90일 미만의 출산전후휴가를 부여하는 것은 법 위반에 해당됩니다.
고용보험자격취득.상실확인방법,"고용보험 가입 이력은 고용산재보험토탈서비스(total.comwel.or.kr)에서 확인할 수 있으며, 신고 내용이 사실과 다른 경우에는 사업장 관할 근로복지공단 지사에 피보험자격 확인청구서를 제출하시면 됩니다."
