input,output
직장에서 소개할 때의 요령을 알려줘.,"외부 사람들을 소개하는 경우가 많은데 소개할 때는 어느 쪽을 먼저 소개해야 하는지를 생각하고 자연스럽게 말을 건넵니다.
소개를 받았을 때에는 반드시 일어서서 웃는 얼굴로 *안녕하십니까, 잘 부탁합니다.* 라고 인사합니다.

아래는 소개인사 예시입니다.
남성을 여성에 소개할 때 - 이 여사님, 한연수씨를 소개합니다.
손아랫사람을 손윗사람에게 소개할 때 - 김 사장님, 관리부 신 과장입니다.
직급이 낮은 사람을 높은 사람에게 소개할 때 - 부장님, 신입여사원 김선영 양입니다."
직장에서 손님을 안내할 때의 요령을 알려줘.,"손님을 응접실이나 어떤 장소로 안내할 경우에는
*이쪽으로 오십시오.*라고 말을 하고 비스듬히 비껴서 반걸음 앞서서 걸어가는 것이 바람직합니다.

밖으로 여는 문일 때는
문을 조용히 잡아당겨 열며 *안으로 드세요.* 하며 목례합니다.

안으로 여는 문일 때는
직원이 먼저 들어가는 문을 잡고 *들어오세요.* 하고 목례합니다.

자기가 접대 하는 경우가 아니면
*잠깐만 기다려 주십시오.* 하고 의자를 권하면서 정중히 인사를 합니다."
직장에서의 악수 매너를 알려줘.,"악수는 윗사람이 먼저 청하는 것. 아랫사람이 손을 먼저 내밀어서는 안 됩니다.
아는 사람을 만났을 때는 악수에 대비해서 오른손에 들었던 물건을 왼손으로 미리 이동합니다.
장갑 낀 손, 땀에 젖은 손으로 악수해서는 안 됩니다.
상대의 얼굴을 주시하면서 웃는 얼굴로 악수하여야 합니다.
손을 너무 세게 쥐거나 손끝 만 내밀고 악수해서는 안 됩니다.
계속 손을 잡은 채로 말을 해서는 안 되며, 인사만 끝나면 곧 손을 놓습니다."
직장에서 명함을 주고 받을 때의 매너를 알려줘.,"명함은 자신의 소개서입니다.
자기 명함은 출퇴근 시에 미리 일정한 매 수를 항상 윗주머니에 넣어두는 습관을 길러야 합니다.
주고받을 때는 항상 *만나 뵙게 되어 기쁩니다.* 라고 말 하면서 마음을 전달하기 위해 밝은 미소를 띠웁니다.

*명함을 줄 때*
손아랫사람이 윗사람에게 미리 내밉니다.
윗주머니에서 꺼냅니다.
자기 이름이 상대방 쪽에서 보이게끔 오른손으로 내밉니다.
반드시 일어서서 *XX회사 XX팀에 있는 XXX입니다.* 라고 통성명을 합니다.
상대가 두 사람 이상일 때는 손윗사람에게 먼저 줍니다.

*명함을 받을 때*
맞교환할 때는 왼손으로 받고 오른손으로 건넵니다.
받은 명함은 그 자리에서 보고 읽기 어려운 글자가 있을 때는 바로 물어봅니다.
받은 명함은 손으로 들고 만지작거리지 말고 반드시 상의 윗주머니에 넣습니다.
받은 명함은 잘 정리하여 명함첩에 꽂습니다.
상대의 명함을 받을 때에는 두 손으로 받습니다."
직장 승강기에서 귀빈 안내 시 매너를 알려줘.,"*승강기 탑승 시*
승강기 안내원은 손님이 도착되면 공손히 인사한 후 승강기의 운행 방향을 안내합니다.
손님이 탑승을 마치면 안내원이 탑승한 후 승강기를 작동시킵니다.

*승강기 하차 시*
승강기가 정차하면 문을 열고 손님이 먼저 하차합니다.
하차하는 동안 문이 닫히지 않도록 고정시키며 “감사합니다” 또는 “안녕히 가십시오”라고 인사합니다."
직장에서 전화를 받는 요령을 알려줘.,"전화기 벨이 두 번째 울릴 때 수화기를 듭니다.
우선 자기 소속과 이름을 밝힙니다 (감사합니다. 00회사 인사팀 000입니다)
상대방을 확인한 후 인사합니다. (00주식회사의 0대리시라구요? 안녕하십니까.)
메모 준비를 하고 경청합니다.
용건이 끝났음을 확인한 후 통화내용을 요약, 복창합니다.
(내일 오후 2시에 저희 회사로 나오신다고요?)
마무리 인사한 후 상대방이 수화기를 내려놓은 다음 조용히 수화기를 내려놓습니다(감사합니다. 안녕히 계십시오.)"
직장에서 전화를 걸 때의 요령을 알려줘.,"용건을 6하원칙으로 정리하여 메모합니다. (언제, 어디서, 누가, 무엇을, 어떻게, 왜)
전화번호를 확인한 후 왼손으로 수화기를 들고 오른손 검지로 다이얼을 누릅니다.
상대방이 나오면 자신을 밝힌 후 상대방을 확인합니다. (감사합니다. 00반도체 인사팀 000입니다 실례합니다만 000씨 아닙니까?)
간단한 인사말을 한 후 시간, 장소, 상황을 고려하여 용건을 말합니다. (바쁘신데 죄송합니다만)
용건이 끝났음을 확인한 후 마무리 인사를 합니다. (감사합니다)
상대방이 수화기를 내려놓은 다음 수화기를 조심스럽게 내려놓습니다."
직장에서 전화를 연결할 때의 요령을 알려줘.,"전화 받을 사람을 확인합니다(연구부 김과장님 말씀이신가요 잠깐만 기다려 주십시오)
동명인이 2명 이상 있을 경우에는 담당 성명으로 확인합니다(어느 부서에 근무하는 김과장 입니까)
전화를 연결할 경우에는 수화기를 막은 다음 전화 받을 사람에게 연결한다(김과장님 oo회사 김부장입니다)
전화를 받을 사람이 즉시 받을 수 없을 때에는 중간 상황을 수시로 알려 줍니다(김과장이 지금 통화중인데요)"
직장에서 전화할 때의 기본 자세를 알려줘.,"우리 회사의 친절한 이미지를 향상시킬 수 있도록 전화응대기법을 전 직원이 몸에 익히도록 합니다.
전화응대의 기본 요령은 아래와 같습니다.
1. 고객을 맞이하는 마음으로
2. 발음을 정확히
3. 내용은 간단하고 명료하게
4. 태도는 친절하고 말은 정중하게"
"직장에서의 형, 언니와 같은 호칭을 사용해도 될까?","다정한 사이라면 사적으로 부를 수 있습니다
하지만 나이를 확인하지도 않은 상태이거나, 처음 보는 사람, 서먹서먹한 사람에게 이러한 호칭을 사용하면 상대방을 불쾌하게 만들 염려가 있습니다."
나와 저를 어떻게 구별해서 사용해야해?,"5세 이상의 차이가 나는 윗사람에게는 *저*로 표현하는 것이 무난합니다.
연하의 상관이라도 공석에서는 *저*로 칭하는 것이 바람직하다.
조직체의 장인 경우 회사의 공식적인 행사나 회의 때 *저*라는 표현을 써야 할 경우가 많습니다.
조직체의 장은 훈시나 대규모 간부회의 때는 *나도 앞으로…*, *나는 이렇게…*로 말하는 것이 바람직합니다.
부부간에는 어떠한 경우라도 *나*라고 하는 것이 맞습니다. 부부는 동격이므로 *나*라는 표현이 바람직합니다."
직장에서 남자 직원을 부를 때 요령을 알려줘.,"선배 직원이 남자 직원을 부를 때는 *ooo씨* 또는 직위가 있을 때는 그 직위 앞에 성을 붙여 부르는 것이 좋습니다.
후배 직원이 남자 직원을 호칭할 때는 직위 뒤에 *님*자를 붙여 부르는 것이 좋습니다."
직장에서 여자 직원을 부를 때 요령을 알려줘.,"직장에서 기혼 여성들에게는 *ooo씨*로 칭하는 것이 바람직합니다.
(직장 밖 모임이라면 *미세스*, 중년 부인이상이면 *여사*라 호칭합니다)
또 대부분의 여성들을 *미스*나 *양*보다 *ooo씨*로 불러 주기를 원하므로 가장 무난한 호칭으로 씁니다."
